Date,Close,High,Low,Open,Volume
2011-03-17,24.817880630493164,24.88774801954469,24.693674900144206,24.77906689500253,10301600
2011-03-18,24.930950164794922,25.12590747562004,24.868564360793044,25.079117007072462,16696000
2011-03-21,25.14150047302246,25.344253189632212,25.086910113961682,25.118103754913744,8783300
2011-03-22,25.125904083251953,25.27406941813009,25.11030726250856,25.227278955899916,6413300
2011-03-23,25.110307693481445,25.164895079625513,24.91535189302707,25.07911405145928,7349200
2011-03-24,25.406641006469727,25.445631571086082,25.11030736076452,25.20388531080165,10593600
2011-03-25,25.476823806762695,25.586001559116784,25.398842672727927,25.40664257100515,5281100
2011-03-28,25.469026565551758,25.531413851832962,25.461229642161378,25.484623387122056,3925300
2011-03-29,25.617191314697266,25.62499121269645,25.41443858856051,25.445632230978312,4031500
2011-03-30,25.804353713989258,25.936922250162333,25.741966420644367,25.741966420644367,5202600
2011-03-31,25.8199462890625,25.913524238893185,25.749762082992135,25.78875264752247,3280600
2011-04-01,25.952524185180664,26.00711159021419,25.8667431273307,25.913533606555355,3929600
2011-04-04,26.10848617553711,26.155276648849554,26.038301952963483,26.038301952963483,4286700
2011-04-05,25.99151611328125,26.069497265655514,25.960322462415434,26.007109963923877,4311300
2011-04-06,26.046104431152344,26.131882511865427,26.014910779189194,26.069498182729514,3954000
2011-04-07,25.999309539794922,26.100687404070957,25.913528498852887,25.98371271646093,7031500
2011-04-08,25.98370933532715,26.12407775227777,25.913525126851837,26.046096620544976,6907600
2011-04-11,26.131877899169922,26.19426519208386,26.06169368203667,26.06169368203667,8928500
2011-04-12,26.10069465637207,26.202069574026112,26.02271051803353,26.02271051803353,6200400
2011-04-13,26.077289581298828,26.178667441297048,26.022702189328193,26.09288640397469,4442000
2011-04-14,26.217660903930664,26.26445137712197,25.9603207383537,26.061695634749736,8316200
2011-04-15,26.451610565185547,26.52179479618712,26.319042003732825,26.35023565635362,9761800
2011-04-18,26.155277252197266,26.280048875785255,26.007108904018295,26.280048875785255,7603400
2011-04-19,26.37362289428711,26.38921971674518,26.155273329453536,26.202060822038035,5456100
2011-04-20,26.630966186523438,26.732341071016236,26.568578896260423,26.6543599329772,7116900
2011-04-21,26.708955764770508,26.86492106492438,26.615377774594453,26.794736828594672,4828600
2011-04-25,26.740140914916992,26.763534661322833,26.599772486902488,26.62316623330833,6363700
2011-04-26,27.05207061767578,27.091064164542345,26.77913363834962,26.77913363834962,5800000
2011-04-27,27.356203079223633,27.402990573849568,27.005281995579917,27.02087881871851,8745300
2011-04-28,27.496564865112305,27.512161686167595,27.332802706215936,27.356199425193594,5219400
2011-04-29,27.48098373413086,27.566761827439784,27.441990176055832,27.55116797395876,11660100
2011-05-02,27.761714935302734,27.816302341385935,27.6291463704694,27.668136949844467,14846400
2011-05-03,27.691530227661133,27.761714459248957,27.551164739275958,27.69933012827671,11291300
2011-05-04,27.668136596679688,27.714927076206834,27.51997120702945,27.652539770170637,9434600
2011-05-05,27.488773345947266,27.72271975818881,27.410792200130093,27.62134188879446,11700000
2011-05-06,27.683727264404297,27.816295798053034,27.574552477919497,27.691524188529,7405100
2011-05-09,27.839693069458008,27.870886716152114,27.543359375443732,27.543359375443732,9030400
2011-05-10,28.011245727539062,28.019045624811724,27.792896200531665,27.956658345787215,7764600
2011-05-11,27.964458465576172,28.112623792254556,27.816290164108562,28.042439590188117,13491000
2011-05-12,28.221811294555664,28.229611195410882,27.785112039961582,27.863093199770365,7867600
2011-05-13,28.136022567749023,28.338775291445913,27.987854255442222,28.268591084245173,10091200
2011-05-16,28.182817459106445,28.291992260143612,28.019055257550693,28.073642658069275,7557200
2011-05-17,28.182817459106445,28.198414284224643,27.987861607314297,28.05024890778709,7397600
2011-05-18,28.40115737915039,28.424554096246794,28.136020366897593,28.182807851511992,5666800
2011-05-19,28.338783264160156,28.51814229418006,28.20621173557745,28.51814229418006,17052500
2011-05-20,28.104825973510742,28.35436913405868,28.019044954299428,28.35436913405868,11701300
2011-05-23,27.816301345825195,27.870891724745096,27.691529711416308,27.808504420145447,27910000
2011-05-24,27.73832130432129,27.855296017750174,27.707127650768182,27.808505537420512,10177500
2011-05-25,27.777301788330078,27.84748599592116,27.613539628880698,27.613539628880698,7239400
2011-05-26,27.816301345825195,27.84749499812502,27.551164225647923,27.714926438036386,6576400
2011-05-27,27.83189582824707,27.855292552896906,27.699327279322052,27.816299003410567,7043300
2011-05-31,28.15941619873047,28.167213121815024,27.925469833931245,28.034644605851586,10185900
2011-06-01,27.769508361816406,28.13602626703052,27.74611461460353,28.06584205060207,12042500
2011-06-02,27.70711898803711,27.777303199192986,27.597944209525657,27.777303199192986,7603400
2011-06-03,27.441978454589844,27.59794369589907,27.39519096454976,27.39519096454976,12026700
2011-06-06,27.278213500976562,27.434178726340082,27.239222938332997,27.363994523665962,6513500
2011-06-07,27.33281898498535,27.566765490568706,27.317222154640962,27.473187483293607,8211900
2011-06-08,27.364002227783203,27.410792701002517,27.24702753212996,27.30161493015745,6631100
2011-06-09,27.652538299560547,27.785109830441836,27.379601287143668,27.42638878939209,6971000
2011-06-10,27.145648956298828,27.543357512991513,27.122252235465364,27.543357512991513,17102600
2011-06-13,27.278213500976562,27.395188163696513,27.130048173015307,27.130048173015307,10150700
2011-06-14,27.512163162231445,27.621337940686395,27.410788282117338,27.488769416788127,8585800
2011-06-15,27.137840270996094,27.480964300752245,27.07545597681507,27.395183293313206,15194100
2011-06-16,27.18463706970215,27.262618199332387,27.005278091721078,27.145646504887033,10648300
2011-06-17,27.247333526611328,27.482426398693605,27.161132109328616,27.411898238132114,16765100
2011-06-20,27.521610260009766,27.552956775974142,27.15329916021741,27.19248081048873,8445200
2011-06-21,27.694013595581055,27.756703639244222,27.5529572606285,27.631320562549543,12641600
2011-06-22,27.529443740844727,27.717516826175856,27.513770485505834,27.654826794188075,7622800
2011-06-23,27.498104095458984,27.529450613962876,27.13762810076988,27.427575923509504,19458700
2011-06-24,27.17680549621582,27.490264653405564,27.129785725826935,27.490264653405564,11042000
2011-06-27,27.317859649658203,27.388387804959315,27.0670935395582,27.231658238804858,6268200
2011-06-28,27.70183753967285,27.77236567865879,27.341361713463453,27.372708217316568,9300200
2011-06-29,27.756704330444336,27.850743882333386,27.678341026571882,27.850743882333386,6541700
2011-06-30,27.84290313720703,27.921269423070544,27.780213097884367,27.874249651552436,11835800
2011-07-01,28.179866790771484,28.19554004577382,27.827226026638236,27.842899281640573,10374800
2011-07-05,28.10150146484375,28.20337612027856,28.0074649310249,28.20337612027856,6410500
2011-07-06,28.179866790771484,28.21904843359346,28.05448374012052,28.05448374012052,6899800
2011-07-07,28.16419219970703,28.305248498668856,28.054482409262853,28.305248498668856,7400100
2011-07-08,28.0388126373291,28.07015914973988,27.87424793122446,27.976122601875506,6741200
2011-07-11,27.654821395874023,27.850732565315976,27.58429325530023,27.795877677021604,11117200
2011-07-12,27.654821395874023,27.929095837345873,27.560781882197496,27.639148143594603,5988800
2011-07-13,27.764530181884766,28.030969482394536,27.686166912650698,27.795876685325233,8597100
2011-07-14,27.71751594543457,27.91342714689384,27.646987793334524,27.819390607216345,9443600
2011-07-15,27.57645606994629,27.764532114312193,27.43539978401369,27.75669399322299,9994600
2011-07-18,27.372716903686523,27.505935103286586,27.168967553351255,27.482426712620246,8569400
2011-07-19,27.615652084350586,27.67050699712596,27.364882925332175,27.427575962428914,9930600
2011-07-20,27.521610260009766,27.670504716156394,27.419738567177998,27.654831458174208,6808400
2011-07-21,27.936935424804688,28.04664520715298,27.7096777388733,27.795879136251923,14621500
2011-07-22,27.889921188354492,27.94477609039119,27.77237326149416,27.921267700766307,7642700
2011-07-25,27.599979400634766,27.78805253710989,27.56863288143271,27.646996190069245,6821100
2011-07-26,27.38054656982422,27.592131011674223,27.34920305165079,27.57645775790376,8696700
2011-07-27,26.902528762817383,27.270839804446414,26.871182251803223,27.255166548939332,13037300
2011-07-28,26.87902069091797,27.17680660344371,26.83983904201494,26.88685881431949,13788400
2011-07-29,26.73795509338379,26.926031128028246,26.479353908785715,26.651753702062045,18230600
2011-08-01,26.283451080322266,26.996567831058073,26.009173567351198,26.996567831058073,27608500
2011-08-02,25.719223022460938,26.20508197892359,25.69571463421255,26.103210303602054,23052100
2011-08-03,25.76624870300293,25.76624870300293,25.233369858352656,25.71922892634492,23351200
2011-08-04,24.739665985107422,25.515475648925054,24.739665985107422,25.40576286635175,26524200
2011-08-05,24.92774200439453,25.29605454203186,24.32433661204127,24.92774200439453,34270900
2011-08-08,23.650405883789062,24.71616354156812,23.64256925457784,24.43405086870091,35749300
2011-08-09,24.512413024902344,24.582941185519697,23.2272343717404,23.94818773996353,33607200
2011-08-10,23.477996826171875,24.38702614355731,23.43881518515417,24.214623335838304,31686400
2011-08-11,24.551597595214844,24.8650552937884,23.525023071879854,23.56420472369497,23576700
2011-08-12,24.794523239135742,25.021780969164833,24.543757119575346,24.731831709245643,14175900
2011-08-15,25.209850311279297,25.26470819429915,24.84937444174457,25.021777244290526,22841300
2011-08-16,25.18634796142578,25.35875080528993,24.912073427431203,25.068801519044662,16553800
2011-08-17,25.209850311279297,25.499801022718863,24.990430736669897,25.256870072710242,12656600
2011-08-18,24.379192352294922,24.763178158733492,24.167607878945923,24.70832325705426,14270400
2011-08-19,24.31650161743164,24.676977551497938,24.112753765474334,24.151935412330577,18010300
2011-08-22,24.300832748413086,24.755346809556045,24.269486229521156,24.700491896179457,11770100
2011-08-23,25.09230613708496,25.115814523814965,24.340006373365114,24.394861268646853,12479500
2011-08-24,25.38225746154785,25.39009558447935,24.959089998971333,24.998271645524785,11758600
2011-08-25,24.951257705688477,25.413608389830024,24.865056274673666,25.31957182389047,15550800
2011-08-26,25.264707565307617,25.350905975067093,24.33216841769921,24.81019218422664,12478900
2011-08-29,25.907306671142578,25.93081506626418,25.51548414248302,25.546827672855606,11473900
2011-08-30,25.993497848510742,26.150227414026197,25.633021940382676,25.868114793971944,11804700
2011-08-31,26.173744201660156,26.35398219297666,25.962159692888143,26.126724425476894,10386100
2011-09-01,26.001338958740234,26.448016328697676,25.94648405291165,26.165903676225994,9625000
2011-09-02,25.429277420043945,25.82109986722685,25.37442251658778,25.593842130412437,11320900
2011-09-06,25.491968154907227,25.523314668988228,24.794524658129596,24.841544429251098,44453200
2011-09-07,26.103219985961914,26.11105512182837,25.687886040186317,25.79759587853006,10855700
2011-09-08,25.821107864379883,26.19725717144993,25.774088079982768,25.93081770527086,9130800
