Date,Close,High,Low,Open,Volume
2011-03-17,19.85414695739746,20.120667092798975,19.844513478118092,20.120667092798975,211200
2011-03-18,19.944055557250977,20.050021987616255,19.886256521323652,19.960110742930887,250200
2011-03-21,20.066078186035156,20.200943222471647,20.030756040797346,20.181678101122376,238800
2011-03-22,19.944055557250977,20.101399316751255,19.879834814531335,20.101399316751255,169200
2011-03-23,19.937639236450195,19.976173162410188,19.725708155866403,19.87984018490893,1927800
2011-03-24,20.30369758605957,20.35828484690053,20.01469874746211,20.06928600830307,145200
2011-03-25,20.361507415771484,20.57343853987033,20.319761708277092,20.425728189026064,92100
2011-03-28,20.34223747253418,20.461047355591187,20.329392217323214,20.364714372404837,66600
2011-03-29,20.70188331604004,20.714726736595075,20.294076233729783,20.294076233729783,192600
2011-03-30,21.20280647277832,21.23170691559433,20.89775236771582,20.945919772409173,1817700
2011-03-31,21.440427780151367,21.446849488780845,21.24134011344759,21.2445518864617,269400
2011-04-01,21.584928512573242,21.588138448239935,21.462906859668173,21.575295030775603,1046400
2011-04-04,21.60419464111328,21.700527626160348,21.575296031778368,21.68126066167116,257400
2011-04-05,21.934934616088867,22.040899232238058,21.668414433218988,21.67162620601691,501600
2011-04-06,21.967042922973633,22.13723011724211,21.87070995950518,22.028053738590373,1543200
2011-04-07,21.896400451660156,22.121176772681906,21.838601403722695,22.121176772681906,374100
2011-04-08,21.909242630004883,22.117961895314952,21.812909672031893,22.117961895314952,492300
2011-04-11,21.915664672851562,22.02805281930813,21.767954380017358,22.02805281930813,320400
2011-04-12,21.88676643371582,21.90282345973646,21.767956567993593,21.838600867849586,179400
2011-04-13,22.060171127319336,22.114760252699412,21.893195652461042,22.04732770805287,453000
2011-04-14,22.43265151977539,22.435863292385626,21.88355599693015,21.94456681473501,354300
2011-04-15,22.914318084716797,22.914318084716797,22.410176275529672,22.477608811655628,397800
2011-04-18,22.686330795288086,22.81156422758314,22.416600640927427,22.81156422758314,860400
2011-04-19,22.496875762939453,22.798719963579916,22.3812776546164,22.798719963579916,487200
2011-04-20,22.936796188354492,22.943219734912304,22.71844154036143,22.846886747933045,939000
2011-04-21,23.119823455810547,23.151933831748465,22.923947590231364,23.116613520655847,526800
2011-04-25,22.991384506225586,23.190472182385527,22.78908689429782,23.18726040921886,902700
2011-04-26,23.29322052001953,23.39597518453297,23.007433420317156,23.058810752573876,261900
2011-04-27,23.932233810424805,23.94186729328282,23.357451311554946,23.383138149311005,654600
