Date,Close,High,Low,Open,Volume
2012-05-18,37.93232345581055,44.649609624651944,37.70411479415053,41.72257890337034,573576400
2012-05-21,33.7650260925293,36.37454880407039,32.74304734125792,36.245559982018534,168192700
2012-05-22,30.758623123168945,33.32845662582704,30.69909083412013,32.356087703874614,101786600
2012-05-23,31.750835418701172,32.24694222211838,31.115819315926274,31.12574167909429,73600000
2012-05-24,32.7728157043457,32.9514144644507,31.522628168605454,32.693440580407206,50237200
2012-05-25,31.661537170410156,32.69344026667106,30.867767013668946,32.643830341561234,37149800
2012-05-29,28.615440368652344,31.443249506485007,28.426919254797564,31.234883666435564,78063400
2012-05-30,27.970502853393555,29.319912107820397,27.643072430095465,28.476532033490116,57267900
2012-05-31,29.369525909423828,29.438980565650073,26.62109350520213,28.327700388537842,111639200
2012-06-01,27.504159927368164,28.923025658392614,27.17672951963154,28.665049898888423,41855500
2012-06-04,26.6905460357666,27.434706251777737,26.23412867834514,26.988211257669434,35230300
2012-06-05,25.668569564819336,27.543852875095975,25.549503086668018,26.492106870165436,42473400
2012-06-06,26.601247787475586,26.95844531192051,25.321293145710232,25.86700990361453,61489200
2012-06-07,26.105140686035156,27.13704379377147,25.946386652921472,26.789768636648773,26159500
2012-06-08,26.888988494873047,27.543849308669085,26.23412768107701,26.343269888378202,38034000
2012-06-11,26.79969024658203,27.851436159505862,26.631013854580324,26.96836663858374,28219600
2012-06-12,27.18665313720703,27.553773013731085,26.750078609245342,27.266030152063948,15816800
2012-06-13,27.057666778564453,27.881204035069292,26.88899038181058,27.444629497736198,17102800
2012-06-14,28.06972312927246,28.099488325519495,27.16680702900234,27.43470515020895,16855000
2012-06-15,29.776330947875977,29.865630325029503,28.12925649092892,28.288010518646903,43563800
2012-06-18,31.165428161621094,31.830213223410162,29.18100101657042,29.726717724460475,42978900
2012-06-19,31.661537170410156,31.929435307996815,30.46095957177691,31.294419182603846,30849000
2012-06-20,31.35395050048828,31.681380916568653,30.90745361833447,31.671458553354427,15553600
2012-06-21,31.592082977294922,32.24694383924597,31.264652546319397,31.42340657997436,21875300
2012-06-22,32.79266357421875,33.18955058693046,31.81037408449963,32.157647381876075,74834000
2012-06-25,31.810367584228516,32.76289167809954,31.30433655717595,32.60413766245437,24352900
2012-06-26,32.84226989746094,33.179622685715586,32.246943228773745,32.43546245735927,24858700
2012-06-27,31.979045867919922,32.643830989571114,31.651615435202213,32.207254555951,28568000
2012-06-28,31.115819931030273,31.939355272785495,30.659400678765273,31.71114659290165,17713300
2012-06-29,30.857845306396484,31.740914861113346,30.520492509482708,31.671460207483577,19526900
2012-07-02,30.530412673950195,31.482936813681548,30.3121244725555,31.00667474381587,14122000
2012-07-03,30.957063674926758,31.195194701041927,30.560176738904307,30.669320835560196,8763600
2012-07-05,31.224964141845703,31.383718180840038,30.778469116860677,31.076132466850694,10032100
2012-07-06,31.482940673828125,31.651617080815914,31.01660090980188,31.195199681023944,10945600
2012-07-09,31.919506072998047,32.62398052565057,31.740909234962793,31.850051431679276,17785200
